stage,public_lb,evidence
Marcel prior + ensemble,1070.1118,retained team leaderboard record
Auxiliary labels + link diversity,1089.9134,retained team leaderboard record
Segment calibration + base/out,1136.8054,retained team leaderboard record
Feature frame + TrackMan dispersion,1140.4990,retained team leaderboard record
V9 Pattern16,1154.8135076177,submission record
Small stable stack,1157.9983747899,submission record
V11 FULL,1160.1624441988,submission record
